,degree,degree_norm
Warren Snowdon,29,0.8529411764705882
David Hawker,28,0.8235294117647058
Alan Cadman,28,0.8235294117647058
Robert Baldwin,28,0.8235294117647058
Patrick Farmer,28,0.8235294117647058
Alby Schultz,28,0.8235294117647058
Paul Neville,28,0.8235294117647058
Dr Carmen Lawrence,28,0.8235294117647058
Peter Andren,28,0.8235294117647058
Stephen Smith,28,0.8235294117647058
Peter King,28,0.8235294117647058
Bruce Scott,28,0.8235294117647058
Barry Wakelin,28,0.8235294117647058
Peter Dutton,28,0.8235294117647058
Brendan O'Connor,28,0.8235294117647058
Arch Bevis,28,0.8235294117647058
Martin Ferguson,28,0.8235294117647058
Michael Danby,54,0.8181818181818182
Christopher Pearce,54,0.8181818181818182
Anthony Albanese,54,0.8181818181818182
Tanya Plibersek,54,0.8181818181818182
Philip Ruddock,78,0.8125
Nicola Roxon,28,0.42424242424242425
Anthony Smith,1,0.029411764705882353
Roger Price,1,0.029411764705882353
Michael Organ,1,0.010416666666666666
