,stability
2,0.8321414723374694
3,0.7721829051555642
4,0.845588777827549
5,0.7316365850558858
6,0.6649920642496381
7,0.6938458786956462
8,0.6160574668540862
9,0.6934671232854948
10,0.6734766220717272
11,0.6801682975287614
12,0.7218657572746026
13,0.7044764129478672
14,0.6424138475806541
15,0.6338770413993091
16,0.610051166141041
17,0.6120575708524731
18,0.6460463842556021
19,0.6124615992848794
20,0.6244719847285702
21,0.5919941527273844
22,0.6462449083923919
23,0.6070392164529903
24,0.6520348522238819
25,0.5979906957865704
