,stability
2,0.8785051975801977
3,0.8130504403004406
4,0.8388476065601068
5,0.7545967879574843
6,0.6770182521411625
7,0.6561048210855929
8,0.531770207798952
9,0.5847499526846276
10,0.5729605067387032
11,0.5337219887900513
12,0.5288439601821181
13,0.5312420421511754
14,0.5060411111819284
15,0.5434358940486185
16,0.5341415330638146
17,0.5664889836306473
18,0.5600822339878713
19,0.5775963170101676
20,0.5233503295736771
21,0.5638690898176635
22,0.5590621441431881
23,0.5583116926301439
24,0.5517809060142069
25,0.5582699999487957
