,stability
2,0.8421190476190474
3,0.7963650793650794
4,0.8712738095238095
5,0.7826063492063491
6,0.7753677248677248
7,0.7615691609977324
8,0.6043174603174604
9,0.7131358024691358
10,0.6528539682539682
11,0.6488874458874458
12,0.6172711640211641
13,0.5728656898656899
14,0.6038990929705216
15,0.599932275132275
16,0.6697986111111112
17,0.61934360410831
18,0.597147266313933
19,0.6135446950710108
20,0.6397555555555556
21,0.6298760393046108
22,0.6557539682539683
23,0.6368523119392684
24,0.5964920634920634
25,0.6411587301587302
