,stability
2,0.4861385258583839
3,0.3765046452502554
4,0.4179063353836995
5,0.41745105236369195
6,0.40176413760456126
7,0.38076384989549134
8,0.3922847027407261
9,0.36151318640729296
10,0.3228007409529364
11,0.3523230822573879
12,0.3352692331829224
13,0.3254492743673896
14,0.3360402438567798
15,0.2910701852797529
16,0.3414572710313669
17,0.29775625080654616
18,0.2840881496130086
19,0.28470794467693294
20,0.30607763912874547
21,0.3034902117300335
22,0.30717330088501316
23,0.30927333360105064
24,0.28522284676821913
25,0.2872499970097627
