,stability
2,0.8352976859871183
3,0.8032609418639319
4,0.8405883401633741
5,0.7572888180323946
6,0.6684394935420974
7,0.6467064879927272
8,0.5690160951403547
9,0.6720519027903102
10,0.5412903753186952
11,0.5559115057204472
12,0.6403868956698606
13,0.6059234835277485
14,0.6026047630819955
15,0.5480350207967432
16,0.5164531141855246
17,0.524049741364866
18,0.5151861734597691
19,0.553833254327419
20,0.5376373133548057
21,0.5524290152729513
22,0.5469145644797498
23,0.5550028493197336
24,0.5356864446445921
25,0.5673747197346886
