,stability
2,0.8804611111111106
3,0.8259857142857142
4,0.8471769841269841
5,0.7842647619047621
6,0.6927804232804234
7,0.6650272108843538
8,0.534768253968254
9,0.5632462081128748
10,0.5663257142857142
11,0.5673554112554112
12,0.5282205026455027
13,0.5459203907203904
14,0.5135467120181405
15,0.5395631746031746
16,0.5386747023809522
17,0.5905672268907562
18,0.5888564373897708
19,0.5867543859649123
20,0.5482506349206349
21,0.5914665910808767
22,0.577406782106782
23,0.5848919254658387
24,0.5756761243386245
25,0.5659450158730159
