,stability
2,0.8198984316337257
3,0.7583879301675776
4,0.8615359364577632
5,0.7901979084300931
6,0.7663210962758344
7,0.7550632393587818
8,0.6552135942984134
9,0.72922620438622
10,0.6561057150591181
11,0.6491271837390802
12,0.5666758361128486
13,0.5809070152176861
14,0.5925976314937261
15,0.6034229440047183
16,0.6313894629160047
17,0.5985334328454253
18,0.6010961104260953
19,0.595681949444609
20,0.6035451741349389
21,0.6735364508884581
22,0.640957228357083
23,0.6186321373886469
24,0.6167371054509141
25,0.6473075290288124
