,stability
2,0.5337125783199616
3,0.37871006605637997
4,0.33998052371238047
5,0.3311631691238948
6,0.3610475034225201
7,0.34790927185576476
8,0.378621840834198
9,0.3774801822497526
10,0.35850525662938326
11,0.302696165864289
12,0.3277039876133559
13,0.293400379955605
14,0.3087926649118782
15,0.2918738926350509
16,0.33177004125558635
17,0.3284844592087456
18,0.28606477951345266
19,0.2715834998006348
20,0.28231798772123484
21,0.2723155992543775
22,0.2775287426569005
23,0.2825955585411443
24,0.2748203123410963
25,0.2727779085553802
