,224
Unnamed: 0,224
Speech_id,48859
Date,2017-12-05
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Cathy O'Toole
Gender,0
Party,ALP
Elec,Herbert
Metro,3
Topic,4
CoeffMax,0.31270735481616296
CoeffDiff,0.2811780446416794
