,232
Speech_id,48871
Date,2017-12-05
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Adam Bandt
Gender,1
Party,AG
Elec,Melbourne
Metro,1
Topic,3
CoeffMax,0.9991018175498884
CoeffDiff,0.9988019824219453
