,41
Speech_id,32099
Date,2012-02-28
Bill,Marriage Amendment Bill 2012
Type,Second Reading
Person,John Murphy
Gender,1
Party,ALP
Elec,Reid
Metro,1
Topic,6
CoeffMax,0.9986723188175664
CoeffDiff,0.9985247858047716
