,210
Speech_id,48912
Date,2017-12-05
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Chris Crewther
Gender,1
Party,LP
Elec,Dunkley
Metro,2
Topic,9
CoeffMax,0.999023686605289
CoeffDiff,0.9989151977731939
