,307
Speech_id,49017
Date,2017-12-07
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Consideration in Detail
Person,Andrew Hastie
Gender,1
Party,LP
Elec,Canning
Metro,2
Topic,1
CoeffMax,0.999798271623751
CoeffDiff,0.9997304873090651
