,degree,degree_norm
Christopher Pyne,118,0.31216931216931215
Stephen Jones,115,0.30423280423280424
Andrew Giles,57,0.3
Michael Danby,57,0.3
Tim Watts,57,0.3
Ann Sudmalis,57,0.3
Rob Mitchell,57,0.3
Rebekha Sharkie,57,0.3
Cathy O'Toole,57,0.3
Clare O'Neil,57,0.3
Jenny Macklin,57,0.3
Susan Templeman,57,0.3
Mike Freelander,57,0.3
Sharon Claydon,57,0.3
Meryl Swanson,57,0.3
Tim Hammond,57,0.3
Malcolm Turnbull,57,0.3
Emma McBride,57,0.3
Emma Husar,57,0.3
Kate Ellis,57,0.3
Amanda Rishworth,57,0.3
Matt Thistlethwaite,57,0.3
David Feeney,57,0.3
Justine Keay,57,0.3
Cathy McGowan,57,0.3
Gai Brodtmann,57,0.3
Julia Banks,57,0.3
Anne Aly,57,0.3
Andrew Leigh,57,0.3
Josh Wilson,57,0.3
Milton Dick,57,0.3
Julie Collins,57,0.3
Brendan O'Connor,57,0.3
Madeleine King,57,0.3
Warren Entsch,279,0.3
Susan Lamb,57,0.3
Jim Chalmers,57,0.3
Luke Gosling,57,0.3
Catherine King,57,0.3
Pat Conroy,57,0.3
Lisa Chesters,57,0.3
Julian Hill,57,0.3
Jason Clare,57,0.3
Justine Elliot,57,0.3
Linda Burney,57,0.3
Richard Marles,57,0.3
Sharon Bird,57,0.3
Matt Keogh,113,0.29894179894179895
Anthony Albanese,113,0.29894179894179895
George Christensen,168,0.2978723404255319
Bill Shorten,112,0.2962962962962963
Angus Taylor,56,0.29473684210526313
Peter Khalil,56,0.29473684210526313
Karen Andrews,56,0.29473684210526313
Stuart Robert,56,0.29473684210526313
Luke Howarth,56,0.29473684210526313
Julie Owens,56,0.29473684210526313
Andrew Laming,56,0.29473684210526313
Chris Hayes,56,0.29473684210526313
Kelly O'Dwyer,56,0.29473684210526313
Scott Morrison,111,0.29365079365079366
Andrew Hastie,157,0.2783687943262411
Sarah Henderson,156,0.2765957446808511
Nicolle Flint,100,0.26455026455026454
Chris Crewther,100,0.26455026455026454
Lucy Wicks,100,0.26455026455026454
Trent Zimmerman,236,0.2537634408602151
Steven Ciobo,45,0.23684210526315788
Keith Pitt,45,0.23684210526315788
Trevor Evans,217,0.23333333333333334
Barnaby Joyce,44,0.23157894736842105
Ken Wyatt,44,0.23157894736842105
Mark Coulton,44,0.23157894736842105
Josh Frydenberg,44,0.23157894736842105
Ben Morton,44,0.23157894736842105
Jason Falinski,44,0.23157894736842105
Tony Zappia,44,0.23157894736842105
Michael McCormack,44,0.23157894736842105
Michelle Rowland,44,0.23157894736842105
Damian Drum,44,0.23157894736842105
Rick Wilson,44,0.23157894736842105
Kevin Hogan,44,0.23157894736842105
David Gillespie,44,0.23157894736842105
Darren Chester,44,0.23157894736842105
Andrew Wallace,44,0.23157894736842105
Ken O'Dowd,44,0.23157894736842105
Julian Leeser,44,0.23157894736842105
Jason Wood,44,0.23157894736842105
Warren Snowdon,44,0.23157894736842105
Tony Pasin,44,0.23157894736842105
Shayne Neumann,44,0.23157894736842105
Paul Fletcher,44,0.23157894736842105
Luke Hartsuyker,44,0.23157894736842105
Julie Bishop,44,0.23157894736842105
Melissa Price,44,0.23157894736842105
Ed Husic,44,0.23157894736842105
Greg Hunt,44,0.23157894736842105
Dan Tehan,44,0.23157894736842105
Alan Tudge,44,0.23157894736842105
Andrew Gee,44,0.23157894736842105
Ian Goodenough,44,0.23157894736842105
Scott Buchholz,44,0.23157894736842105
Ross Hart,44,0.23157894736842105
Craig Kelly,172,0.22994652406417113
John McVeigh,86,0.2275132275132275
Terri Butler,126,0.22340425531914893
Tony Abbott,167,0.2232620320855615
Kevin Andrews,164,0.2192513368983957
Andrew Broad,162,0.21657754010695188
Alex Hawke,110,0.1950354609929078
Mark Dreyfus,269,0.1837431693989071
Adam Bandt,230,0.17857142857142858
Michael Sukkar,119,0.1590909090909091
Tanya Plibersek,57,0.15079365079365079
Andrew Wilkie,57,0.15079365079365079
Rowan Ramsey,44,0.1164021164021164
Tim Wilson,98,0.1053763440860215
Ted O'Brien,16,0.08421052631578947
Nick Champion,4,0.021052631578947368
Christian Porter,4,0.021052631578947368
Peter Dutton,4,0.021052631578947368
Chris Bowen,2,0.010526315789473684
Bob Katter,0,0.0
Tony Burke,0,0.0
