,degree,degree_norm
Paul Neville,25,0.6944444444444444
Greg Combet,25,0.6944444444444444
Barry Haase,25,0.6944444444444444
Scott Buchholz,25,0.6944444444444444
Sharon Bird,25,0.6944444444444444
Sharon Grierson,24,0.6666666666666666
Jason Clare,24,0.6666666666666666
Gai Brodtmann,24,0.6666666666666666
Richard Marles,24,0.6666666666666666
Deb O'Neill,24,0.6666666666666666
Chris Hayes,24,0.6666666666666666
Joel Fitzgibbon,24,0.6666666666666666
Peter Garrett,24,0.6666666666666666
Warren Entsch,24,0.6666666666666666
Mark Butler,24,0.6666666666666666
Jill Hall,24,0.6666666666666666
Nicola Roxon,24,0.6666666666666666
Malcolm Turnbull,24,0.6666666666666666
Stephen Jones,24,0.6666666666666666
Bob Baldwin,24,0.6666666666666666
Tanya Plibersek,24,0.6666666666666666
Melissa Parke,24,0.6666666666666666
John Murphy,46,0.6571428571428571
Stuart Robert,29,0.4142857142857143
Graham Perrett,3,0.08333333333333333
Amanda Rishworth,3,0.08333333333333333
Darren Chester,4,0.05714285714285714
Luke Simpkins,4,0.05714285714285714
Laura Smyth,0,0.0
Alby Schultz,0,0.0
Shayne Neumann,0,0.0
Adam Bandt,0,0.0
