,degree,degree_norm
Barry Haase,11,0.7333333333333333
Kelly O'Dwyer,11,0.7333333333333333
Laura Smyth,11,0.7333333333333333
Graham Perrett,11,0.7333333333333333
Richard Marles,11,0.7333333333333333
Michael McCormack,11,0.7333333333333333
Tanya Plibersek,11,0.7333333333333333
Dennis Jensen,11,0.7333333333333333
Andrew Wilkie,11,0.7333333333333333
Greg Combet,11,0.7333333333333333
Bernie Ripoll,11,0.7333333333333333
Stephen Smith,11,0.7333333333333333
Chris Hayes,1,0.06666666666666667
Luke Simpkins,1,0.06666666666666667
Alby Schultz,0,0.0
Peter Garrett,0,0.0
