Speech_id,48860
Date,2017-12-05
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Andrew Broad
Gender,1
Party,Nats
Elec,Mallee
Metro,4
Topic_nmf,1.0
Senti_pos,0.192
Senti_neu,0.764
Senti_neg,0.044000000000000004
Senti_comp,0.9998
