,stability
2,0.8079853555910816
3,0.752508976763416
4,0.8616092497004597
5,0.7819419234706706
6,0.7711147389969086
7,0.7541422484228621
8,0.6149085741329144
9,0.7396426086783736
10,0.6798966404438314
11,0.6378399007134743
12,0.6065436976629093
13,0.6414827367852932
14,0.6269176675780688
15,0.6459462796335049
16,0.6051179125227928
17,0.5943744002132336
18,0.5753530592370837
19,0.5790221127009174
20,0.6135020178776429
21,0.6353924469241272
22,0.6149592491784663
23,0.6184666148984371
24,0.5866000045760529
25,0.6095718338099212
