,sentiDiff
10622,0.6801
10613,0.6801
10589,0.6801
7862,0.6801
10626,0.6801
10615,0.6801
10594,0.6801
10593,0.6801
10599,0.6801
10591,0.6801
10592,0.68
10614,0.68
10580,0.68
10611,0.68
10567,0.68
10595,0.68
8018,0.68
10574,0.68
10628,0.68
10590,0.6799000000000001
10596,0.6799000000000001
10602,0.6799000000000001
10608,0.6799000000000001
10636,0.6799000000000001
10570,0.6799000000000001
10563,0.6799000000000001
10624,0.6799000000000001
9688,0.6799000000000001
7436,0.6799000000000001
10629,0.6798000000000001
10609,0.6798000000000001
8096,0.6798000000000001
10627,0.6797000000000001
7940,0.6797000000000001
10634,0.6797000000000001
10618,0.6797000000000001
10597,0.6797000000000001
8852,0.6797000000000001
10601,0.6796
10610,0.6796
10603,0.6795
10606,0.6795
11317,0.6795
10617,0.6795
10635,0.6795
9234,0.6795
10639,0.6795
10578,0.6795
10566,0.6795
10569,0.6794
10584,0.6793
8174,0.6793
10630,0.6793
10623,0.6793
10577,0.6791
9864,0.679
10583,0.679
10637,0.679
10586,0.679
10575,0.6789000000000001
8512,0.6789000000000001
10632,0.6789000000000001
10600,0.6788000000000001
10581,0.6787000000000001
10585,0.6787000000000001
10564,0.6785
10598,0.6784
10576,0.6782
10633,0.6781
8681,0.6781
10562,0.6781
10605,0.6779000000000001
10568,0.6776
10565,0.6775
10638,0.6773
10042,0.6773
12310,0.6772
10643,0.6772
10588,0.677
10612,0.6767000000000001
10587,0.6765
10619,0.6765
10620,0.676
10604,0.676
10579,0.6756
10631,0.6754
8343,0.6754
10607,0.6753
10616,0.6753
10573,0.675
10621,0.6734
12626,0.6723
10644,0.6723
10571,0.6667000000000001
10640,0.6635
11658,0.6635
10625,0.6566000000000001
7514,0.6566000000000001
10582,0.6436000000000001
10572,0.5904
10641,0.5541
11735,0.5541
10642,0.5073
11843,0.5073
11064,0.49670000000000003
11063,0.49670000000000003
11065,0.49660000000000004
8870,0.49660000000000004
11061,0.4959
11438,0.4959
11081,0.4959
11070,0.49570000000000003
10476,0.49570000000000003
11066,0.49560000000000004
10158,0.49560000000000004
10545,0.49360000000000004
11072,0.49360000000000004
11086,0.4929
12221,0.4929
11205,0.4918
11079,0.4918
11078,0.49150000000000005
11180,0.49150000000000005
11068,0.49140000000000006
10212,0.49140000000000006
10185,0.49129999999999996
11067,0.49129999999999996
10506,0.487
11071,0.487
11468,0.48619999999999997
11082,0.48619999999999997
11084,0.48519999999999996
12163,0.48519999999999996
11083,0.48050000000000004
11756,0.48050000000000004
11075,0.4747
11105,0.4747
12431,0.47230000000000005
11087,0.47230000000000005
11060,0.4709
11080,0.4635
11230,0.4635
11155,0.46199999999999997
11077,0.46199999999999997
10758,0.4589
11073,0.4589
12648,0.4567
11088,0.4567
11074,0.4505
10987,0.4505
11076,0.44830000000000003
11130,0.44830000000000003
11085,0.44300000000000006
12192,0.44300000000000006
11069,0.44279999999999997
10240,0.44279999999999997
8969,0.42400000000000004
10915,0.42400000000000004
10945,0.42400000000000004
10905,0.42400000000000004
10919,0.42400000000000004
10908,0.42400000000000004
10884,0.42400000000000004
10916,0.42400000000000004
10923,0.42390000000000005
10939,0.42390000000000005
10927,0.42390000000000005
7695,0.42390000000000005
10951,0.42390000000000005
10902,0.42390000000000005
10900,0.42390000000000005
9605,0.42390000000000005
11942,0.42380000000000007
10895,0.42380000000000007
10926,0.42380000000000007
10961,0.42380000000000007
10870,0.42380000000000007
10924,0.42380000000000007
10912,0.42380000000000007
10904,0.4237000000000001
10918,0.4237000000000001
10136,0.4237000000000001
10906,0.4237000000000001
10954,0.4237000000000001
10899,0.4237000000000001
10931,0.4237000000000001
9513,0.4236000000000001
9783,0.4236000000000001
9959,0.4236000000000001
10952,0.4236000000000001
10950,0.4236000000000001
10885,0.4236000000000001
10953,0.4236000000000001
10909,0.4235
10940,0.4235
7786,0.4235
10887,0.4234
10892,0.4234
10932,0.4234
10869,0.4234
10911,0.4234
10929,0.4234
10937,0.4233
10935,0.4233
10913,0.4233
10903,0.4233
10901,0.4233
10914,0.4232
10934,0.4232
10921,0.4232
8434,0.42310000000000003
10942,0.42310000000000003
10891,0.42300000000000004
10907,0.42290000000000005
10896,0.42290000000000005
10889,0.42290000000000005
10910,0.42290000000000005
10917,0.4226000000000001
9327,0.4226000000000001
10948,0.4226000000000001
12405,0.4224
10964,0.4224
10947,0.4224
9154,0.4224
10925,0.4222
10880,0.4222
10946,0.42200000000000004
9061,0.42200000000000004
10938,0.42190000000000005
10871,0.42190000000000005
10933,0.42190000000000005
10878,0.4217000000000001
10874,0.4216000000000001
10920,0.42100000000000004
10890,0.42090000000000005
10930,0.42080000000000006
10877,0.4207000000000001
8265,0.4205
10941,0.4205
10875,0.4204
10881,0.4203
10943,0.42010000000000003
8603,0.42010000000000003
12139,0.4193
10886,0.4193
10963,0.4193
10876,0.41910000000000003
10936,0.41910000000000003
9420,0.41870000000000007
10949,0.41870000000000007
10882,0.4186000000000001
10861,0.4184
10958,0.4184
10883,0.41800000000000004
10453,0.4161
10956,0.4161
10888,0.41490000000000005
10347,0.4121
10955,0.4121
10893,0.4113
10922,0.4082
10879,0.40780000000000005
10928,0.4052
10962,0.40360000000000007
12042,0.40360000000000007
10894,0.40170000000000006
10897,0.3944000000000001
8773,0.3859
10944,0.3859
12540,0.3709
10965,0.3709
10873,0.3692000000000001
10957,0.35860000000000003
10734,0.35860000000000003
11577,0.3246
10960,0.3246
10872,0.3217
11062,0.2548
2627,0.2419
2725,0.2419
2141,0.2419
2142,0.2419
8856,0.24180000000000001
2140,0.24109999999999998
2096,0.24109999999999998
11423,0.24109999999999998
10463,0.2409
10144,0.24080000000000001
10531,0.2388
12206,0.23809999999999998
11191,0.237
11166,0.23670000000000002
10200,0.23660000000000003
10173,0.23649999999999993
11949,0.23410000000000009
12412,0.23410000000000009
10493,0.23219999999999996
10898,0.23199999999999998
11453,0.23139999999999994
12148,0.23039999999999994
11033,0.2289
11004,0.22639999999999993
11741,0.2257
11091,0.21989999999999998
223,0.21799999999999997
238,0.2178
309,0.2178
526,0.21760000000000002
12416,0.21750000000000003
600,0.21739999999999993
230,0.21729999999999994
224,0.21729999999999994
222,0.21719999999999995
234,0.21709999999999996
172,0.21709999999999996
228,0.2167
225,0.21660000000000001
792,0.21660000000000001
226,0.21649999999999991
638,0.21639999999999993
1185,0.21629999999999994
1083,0.21619999999999995
340,0.21619999999999995
2139,0.21609999999999996
133,0.21599999999999997
232,0.21599999999999997
227,0.2156
220,0.2154999999999999
689,0.21539999999999992
562,0.21529999999999994
237,0.21429999999999993
286,0.21429999999999993
229,0.21409999999999996
11400,0.2136
11373,0.2136
11369,0.2136
11370,0.2136
11338,0.2136
8970,0.2136
11362,0.2136
11359,0.2136
11382,0.21350000000000002
11394,0.21350000000000002
11354,0.21350000000000002
11406,0.21350000000000002
11378,0.21350000000000002
11356,0.21350000000000002
9606,0.21350000000000002
11366,0.21340000000000003
11416,0.21340000000000003
11324,0.21340000000000003
11349,0.21340000000000003
11943,0.21340000000000003
11381,0.21340000000000003
11379,0.21340000000000003
11372,0.21330000000000005
11360,0.21330000000000005
10137,0.21330000000000005
11353,0.21330000000000005
11386,0.21330000000000005
11409,0.21330000000000005
11358,0.21330000000000005
9514,0.21320000000000006
11339,0.21320000000000006
11405,0.21320000000000006
11407,0.21320000000000006
11408,0.21320000000000006
9960,0.21320000000000006
9784,0.21320000000000006
233,0.21309999999999996
11395,0.21309999999999996
152,0.21309999999999996
11363,0.21309999999999996
11346,0.21299999999999997
11341,0.21299999999999997
11365,0.21299999999999997
11384,0.21299999999999997
11323,0.21299999999999997
11387,0.21299999999999997
11357,0.21289999999999998
11355,0.21289999999999998
11390,0.21289999999999998
11392,0.21289999999999998
11367,0.21289999999999998
11368,0.2128
11376,0.2128
729,0.2128
11389,0.2128
11397,0.2127
11345,0.2126
11364,0.21250000000000002
11350,0.21250000000000002
11343,0.21250000000000002
11361,0.21250000000000002
11375,0.21220000000000006
11403,0.21220000000000006
11371,0.21220000000000006
9328,0.21220000000000006
11402,0.21199999999999997
12406,0.21199999999999997
9155,0.21199999999999997
11419,0.21199999999999997
11334,0.2118
11380,0.2118
945,0.2118
11401,0.2116
9062,0.2116
11325,0.21150000000000002
11393,0.21150000000000002
11388,0.21150000000000002
11332,0.21130000000000004
11328,0.21120000000000005
11374,0.2106
378,0.2106
11344,0.21050000000000002
10959,0.21040000000000003
11414,0.21040000000000003
11385,0.21040000000000003
11331,0.21030000000000004
11396,0.21009999999999995
404,0.21009999999999995
11329,0.20999999999999996
11335,0.20989999999999998
11398,0.2097
475,0.2096
903,0.2094999999999999
12140,0.20889999999999997
11340,0.20889999999999997
11418,0.20889999999999997
11391,0.2087
11216,0.2087
11330,0.2087
9421,0.20830000000000004
11404,0.20830000000000004
11336,0.20820000000000005
10862,0.20799999999999996
11413,0.20799999999999996
433,0.2077
11337,0.2076
11141,0.20719999999999994
10454,0.2057
11411,0.2057
847,0.2056
11342,0.20450000000000002
192,0.20409999999999995
235,0.20409999999999995
